,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
80,License to Wed,"7,01,81,325","4,37,99,818",62.40%,"2,63,81,507",37.60%,2007
81,3:10 to Yuma,"7,00,16,220","5,36,06,916",76.60%,"1,64,09,304",23.40%,2007
82,The Brave One,"6,97,87,394","3,67,93,804",52.70%,"3,29,93,590",47.30%,2007
83,Because I Said So,"6,94,85,490","4,26,74,040",61.40%,"2,68,11,450",38.60%,2007
84,Mr. Magorium's Wonder Emporium,"6,94,74,661","3,20,61,555",46.10%,"3,74,13,106",53.90%,2007
85,Dan in Real Life,"6,84,71,669","4,76,42,963",69.60%,"2,08,28,706",30.40%,2007
86,"Lust, Caution","6,70,91,915","46,04,982",6.90%,"6,24,86,933",93.10%,2007
87,August Rush,"6,61,22,026","3,16,64,162",47.90%,"3,44,57,864",52.10%,2007
88,Underdog,"6,52,70,477","4,37,60,605",67%,"2,15,09,872",33%,2007
89,Taxi 4,"6,51,25,001",0,0,"6,51,25,001",100%,2007
90,28 Weeks Later,"6,50,48,678","2,86,38,916",44%,"3,64,09,762",56%,2007
91,Lions for Lambs,"6,48,11,540","1,50,02,854",23.10%,"4,98,08,686",76.90%,2007
92,The Reaping,"6,27,71,059","2,51,26,214",40%,"3,76,44,845",60%,2007
93,Good Luck Chuck,"5,97,68,495","3,50,17,297",58.60%,"2,47,51,198",41.40%,2007
94,Are We Done Yet?,"5,83,88,068","4,96,62,533",85.10%,"87,25,535",14.90%,2007
95,The Mist,"5,74,70,220","2,55,94,957",44.50%,"3,18,75,263",55.50%,2007
96,Smokin' Aces,"5,72,32,879","3,57,87,686",62.50%,"2,14,45,193",37.50%,2007
97,Into the Wild,"5,66,74,477","1,83,54,356",32.40%,"3,83,20,121",67.60%,2007
98,Eastern Promises,"5,61,06,607","1,72,66,000",30.80%,"3,88,40,607",69.20%,2007
99,Why Did I Get Married?,"5,58,62,886","5,52,04,525",98.80%,"6,58,361",1.20%,2007
100,The Irony of Fate 2,"5,56,39,741",0,0,"5,56,39,741",100%,2007
101,We Own the Night,"5,50,33,767","2,85,63,179",51.90%,"2,64,70,588",48.10%,2007
102,The Messengers,"5,50,10,659","3,53,74,833",64.30%,"1,96,35,826",35.70%,2007
103,Sea Monsters: A Prehistoric Adventure,"5,06,52,463","2,37,46,066",46.90%,"2,69,06,397",53.10%,2007
104,This Christmas,"4,97,78,552","4,91,21,934",98.70%,"6,56,618",1.30%,2007
105,###############################################################################################################################################################################################################################################################,"4,92,82,156",0,0,"4,92,82,156",100%,2007
106,Mr. Brooks,"4,84,43,734","2,85,49,298",58.90%,"1,98,94,436",41.10%,2007
107,The Nanny Diaries,"4,78,17,020","2,59,30,652",54.20%,"2,18,86,368",45.80%,2007
108,Death at a Funeral,"4,67,89,413","85,80,428",18.30%,"3,82,08,985",81.70%,2007
109,Freedom Writers,"4,30,95,175","3,66,05,602",84.90%,"64,89,573",15.10%,2007
110,The Warlords,"4,28,83,181","1,29,078",0.30%,"4,27,54,103",99.70%,2007
111,Pokémon: The Rise of Darkrai,"4,24,96,749",0,0,"4,24,96,749",100%,2007
112,Always: Sunset on Third Street 2,"4,23,04,705",0,0,"4,23,04,705",100%,2007
113,Balls of Fury,"4,17,39,111","3,28,86,940",78.80%,"88,52,171",21.20%,2007
114,Breach,"4,09,53,935","3,32,31,264",81.10%,"77,22,671",18.90%,2007
115,War,"4,04,81,352","2,24,86,409",55.50%,"1,79,94,943",44.50%,2007
116,The Invasion,"4,01,70,558","1,50,74,191",37.50%,"2,50,96,367",62.50%,2007
117,Om Shanti Om,"3,99,90,809","35,97,372",9%,"3,63,93,437",91%,2007
118,Happily N'Ever After,"3,80,85,778","1,55,89,393",40.90%,"2,24,96,385",59.10%,2007
119,The Hills Have Eyes 2,"3,76,97,773","2,08,04,166",55.20%,"1,68,93,607",44.80%,2007
120,Natale in crociera,"3,73,50,000",0,0,"3,73,50,000",100%,2007
121,Becoming Jane,"3,73,11,672","1,86,70,946",50%,"1,86,40,726",50%,2007
122,Monkey Magic,"3,67,45,063",0,0,"3,67,45,063",100%,2007
123,Sky of Love,"3,66,84,020",0,0,"3,66,84,020",100%,2007
124,Sicko,"3,60,93,504","2,45,40,079",68%,"1,15,53,425",32%,2007
125,Hostel: Part II,"3,57,28,183","1,76,09,452",49.30%,"1,81,18,731",50.70%,2007
126,Vacancy,"3,54,42,935","1,93,63,565",54.60%,"1,60,79,370",45.40%,2007
127,The Darjeeling Limited,"3,50,78,918","1,19,02,715",33.90%,"2,31,76,203",66.10%,2007
128,Sunshine,"3,48,06,360","36,75,753",10.60%,"3,11,30,607",89.40%,2007
129,Assembly,"3,47,86,960",0,0,"3,47,86,960",100%,2007
130,Gone Baby Gone,"3,46,12,443","2,02,92,962",58.60%,"1,43,19,481",41.40%,2007
131,Mr. Woodcock,"3,36,83,200","2,57,99,486",76.60%,"78,83,714",23.40%,2007
132,Run Fatboy Run,"3,34,78,921","60,03,262",17.90%,"2,74,75,659",82.10%,2007
133,Doraemon the Movie: Nobita's New Great Adventure into the Underworld,"3,27,87,846",0,0,"3,27,87,846",100%,2007
134,Awake,"3,27,30,062","1,43,77,198",43.90%,"1,83,52,864",56.10%,2007
135,88 Minutes,"3,25,93,385","1,72,13,467",52.80%,"1,53,79,918",47.20%,2007
136,REC,"3,25,11,655",0,0,"3,25,11,655",100%,2007
137,Alpha Dog,"3,23,51,125","1,53,09,602",47.30%,"1,70,41,523",52.70%,2007
138,Amazing Grace,"3,21,20,360","2,12,50,683",66.20%,"1,08,69,677",33.80%,2007
139,Hunting and Gathering,"3,19,20,899",0,0,"3,19,20,899",100%,2007
140,The Seeker: The Dark Is Rising,"3,18,52,619","87,94,452",27.60%,"2,30,58,167",72.40%,2007
141,Daddy's Little Girls,"3,16,09,243","3,13,66,978",99.20%,"2,42,265",0.80%,2007
142,Love in the Time of Cholera,"3,15,75,877","46,07,608",14.60%,"2,69,68,269",85.40%,2007
143,Welcome,"3,12,03,567",0,0,"3,12,03,567",100%,2007
144,Pathfinder,"3,09,84,583","1,02,32,081",33%,"2,07,52,502",67%,2007
145,Nancy Drew,"3,06,66,930","2,56,12,520",83.50%,"50,54,410",16.50%,2007
146,Death Proof,"3,06,63,961",0,0,"3,06,63,961",100%,2007
147,A Beautiful Wife,"3,03,85,222",0,0,"3,03,85,222",100%,2007
148,The Great Debaters,"3,02,36,407","3,02,36,407",100%,0,0,2007
149,A Tale of Mari and Three Puppies,"3,01,83,621",0,0,"3,01,83,621",100%,2007
150,Lissi und der wilde Kaiser,"2,97,33,764",0,0,"2,97,33,764",100%,2007
151,The Fox and the Child,"2,96,10,210",0,0,"2,96,10,210",100%,2007
152,In the Valley of Elah,"2,95,41,790","67,77,741",22.90%,"2,27,64,049",77.10%,2007
153,Across the Universe,"2,93,67,143","2,43,43,673",82.90%,"50,23,470",17.10%,2007
154,St. Trinian's,"2,90,67,829",0,0,"2,90,66,483",100%,2007
155,Manual of Love 2,"2,78,33,482",0,0,"2,78,33,482",100%,2007
156,The Last Mimzy,"2,73,08,918","2,14,71,047",78.60%,"58,37,871",21.40%,2007
157,Dororo,"2,73,08,865",0,0,"2,73,08,865",100%,2007
158,Shoot 'Em Up,"2,71,22,238","1,28,07,139",47.20%,"1,43,15,099",52.80%,2007
159,Rendition,"2,70,66,382","97,36,045",36%,"1,73,30,337",64%,2007
160,The Invisible,"2,68,10,113","2,05,78,909",76.80%,"62,31,204",23.20%,2007
161,Mongol: The Rise of Genghis Khan,"2,65,27,510","57,05,761",21.50%,"2,08,21,749",78.50%,2007
162,Bratz,"2,60,13,153","1,00,10,209",38.50%,"1,60,02,944",61.50%,2007
163,Grindhouse,"2,54,22,088","2,50,37,897",98.50%,"3,84,191",1.50%,2007
164,The Hitcher,"2,53,99,945","1,64,72,961",64.90%,"89,26,984",35.10%,2007
165,The Last Legion,"2,53,03,038","59,33,494",23.40%,"1,93,69,544",76.60%,2007
166,Before the Devil Knows You're Dead,"2,50,37,657","70,84,227",28.30%,"1,79,53,430",71.70%,2007
167,Georgia Rule,"2,50,00,167","1,91,03,072",76.40%,"58,97,095",23.60%,2007
168,Guru,"2,41,08,727","20,96,000",8.70%,"2,20,12,727",91.30%,2007
169,Partner,"2,39,68,620","10,62,840",4.40%,"2,29,05,780",95.60%,2007
170,Persepolis,"2,27,83,978","44,45,756",19.50%,"1,83,38,222",80.50%,2007
171,Cassandra's Dream,"2,26,86,378","9,73,018",4.30%,"2,17,13,360",95.70%,2007
172,Dead Silence,"2,23,82,047","1,68,09,076",75.10%,"55,72,971",24.90%,2007
173,Reign Over Me,"2,22,42,388","1,96,61,987",88.40%,"25,80,401",11.60%,2007
174,Waitress,"2,22,40,529","1,90,74,800",85.80%,"31,65,729",14.20%,2007
175,Crows Zero,"2,20,36,607",0,0,"2,20,36,607",100%,2007
176,Reno 911!: Miami,"2,20,21,262","2,03,42,161",92.40%,"16,79,101",7.60%,2007
177,My Blueberry Nights,"2,20,07,671","8,67,275",3.90%,"2,11,40,396",96.10%,2007
178,Unfair: The Movie,"2,19,14,005",0,0,"2,19,14,005",100%,2007
179,Like Stars on Earth,"2,18,97,373","12,23,869",5.60%,"2,06,73,504",94.40%,2007
180,Chak De! India,"2,15,05,244","11,20,404",5.20%,"2,03,84,840",94.80%,2007
181,Arn: The Knight Templar,"2,12,87,566",0,0,"2,12,87,566",100%,2007
182,Penelope,"2,11,56,270","1,00,11,996",47.30%,"1,11,44,274",52.70%,2007
183,Once,"2,09,36,722","94,39,923",45.10%,"1,14,96,799",54.90%,2007
184,Le Grand Chef,"2,07,94,760",0,0,"2,07,94,760",100%,2007
185,Walk Hard: The Dewey Cox Story,"2,05,77,458","1,83,17,151",89%,"22,59,047",11%,2007
186,Detective Conan: Jolly Roger in the Deep Azure,"2,04,40,213",0,0,"2,04,40,213",100%,2007
187,The Namesake,"2,03,54,321","1,35,69,248",66.70%,"67,85,073",33.30%,2007
188,Evening,"2,00,16,753","1,24,92,481",62.40%,"75,24,272",37.60%,2007
189,The Diving Bell and the Butterfly,"1,97,80,116","60,03,227",30.30%,"1,37,76,889",69.70%,2007
190,Two Days in Paris,"1,97,76,159","44,33,994",22.40%,"1,53,42,165",77.60%,2007
191,Bhool Bhulaiyaa,"1,90,73,095","10,97,797",5.80%,"1,79,75,298",94.20%,2007
192,A Mighty Heart,"1,90,08,745","91,76,787",48.30%,"98,31,958",51.70%,2007
193,The Wild Guys 4,"1,88,73,863",0,0,"1,88,73,863",100%,2007
194,Kitaro,"1,88,56,642",0,0,"1,88,56,642",100%,2007
195,The Counterfeiters,"1,88,14,713","54,88,570",29.20%,"1,33,26,143",70.80%,2007
196,Ho voglia di te,"1,85,94,142",0,0,"1,85,94,142",100%,2007
197,Saawariya,"1,85,13,120","8,85,574",4.80%,"1,76,27,546",95.20%,2007
198,Daddy Day Camp,"1,81,97,398","1,32,35,267",72.70%,"49,62,131",27.30%,2007
199,Voice of a Murderer,"1,81,60,598",0,0,"1,81,60,598",100%,2007
0,The Dark Knight,"1,00,38,45,358","53,33,45,358",53.10%,"47,05,00,000",46.90%,2008
1,Indiana Jones and the Kingdom of the Crystal Skull,"78,66,36,033","31,71,01,119",40.30%,"46,95,34,914",59.70%,2008
2,Kung Fu Panda,"63,17,44,560","21,54,34,591",34.10%,"41,63,09,969",65.90%,2008
3,Hancock,"62,94,43,428","22,79,46,274",36.20%,"40,14,97,154",63.80%,2008
4,Mamma Mia!,"61,00,02,542","14,42,90,968",23.70%,"46,57,11,574",76.30%,2008
5,Madagascar: Escape 2 Africa,"60,39,00,354","18,00,10,950",29.80%,"42,38,89,404",70.20%,2008
6,Quantum of Solace,"58,95,80,694","16,83,68,427",28.60%,"42,12,12,055",71.40%,2008
7,Iron Man,"58,53,66,247","31,86,04,126",54.40%,"26,67,62,121",45.60%,2008
8,WALL·E,"52,13,11,860","22,38,08,164",42.90%,"29,75,03,696",57.10%,2008
9,The Chronicles of Narnia: Prince Caspian,"41,96,65,568","14,16,21,490",33.70%,"27,80,44,078",66.30%,2008
10,Sex and the City,"41,87,65,321","15,26,47,258",36.50%,"26,61,18,063",63.50%,2008
11,Twilight,"40,72,30,267","19,27,69,854",47.30%,"21,44,17,861",52.70%,2008
12,The Mummy: Tomb of the Dragon Emperor,"40,34,49,830","10,24,91,776",25.40%,"30,09,58,054",74.60%,2008
13,Slumdog Millionaire,"37,84,10,113","14,13,19,928",37.30%,"23,70,90,185",62.70%,2008
14,Wanted,"34,24,63,063","13,45,08,551",39.30%,"20,79,54,512",60.70%,2008
15,The Curious Case of Benjamin Button,"33,58,02,786","12,75,09,326",38%,"20,82,93,460",62%,2008
16,Bolt,"30,99,79,994","11,40,53,579",36.80%,"19,59,26,415",63.20%,2008
17,Horton Hears a Who!,"29,85,72,799","15,45,29,439",51.80%,"14,40,43,360",48.20%,2008
18,Gran Torino,"26,99,58,228","14,80,95,302",54.90%,"12,18,62,926",45.10%,2008
19,"10,000 BC","26,97,84,201","9,47,84,201",35.10%,"17,50,00,000",64.90%,2008
20,The Incredible Hulk,"26,47,70,996","13,48,06,913",50.90%,"12,99,64,083",49.10%,2008
21,Marley & Me,"25,57,43,093","14,31,53,751",56%,"11,25,89,342",44%,2008
22,High School Musical 3: Senior Year,"25,29,09,177","9,05,59,416",35.80%,"16,23,49,761",64.20%,2008
23,Welcome to the Sticks,"24,51,44,417",0,0,"24,51,44,417",100%,2008
24,Journey to the Center of the Earth,"24,42,32,688","10,17,04,370",41.60%,"14,25,28,318",58.40%,2008
25,The Day the Earth Stood Still,"23,30,93,859","7,93,66,978",34%,"15,37,26,881",66%,2008
26,Get Smart,"23,06,85,453","13,03,19,208",56.50%,"10,03,66,245",43.50%,2008
27,Taken,"22,68,37,760","14,50,00,989",63.90%,"8,18,36,771",36.10%,2008
28,Jumper,"22,51,32,113","8,01,72,128",35.60%,"14,49,59,985",64.40%,2008
29,Yes Man,"22,32,41,637","9,76,90,976",43.80%,"12,55,50,661",56.20%,2008
30,What Happens in Vegas,"21,93,75,562","8,02,77,646",36.60%,"13,90,97,916",63.40%,2008
31,Bedtime Stories,"21,28,74,864","11,01,01,975",51.70%,"10,27,72,889",48.30%,2008
32,Australia,"21,17,88,739","4,95,54,002",23.40%,"16,22,33,509",76.60%,2008
33,You Don't Mess with the Zohan,"20,43,13,400","10,00,18,837",49%,"10,42,94,563",51%,2008
34,Ponyo,"20,41,71,845","1,50,90,399",7.40%,"18,90,81,411",92.60%,2008
35,Valkyrie,"20,15,45,517","8,30,77,833",41.20%,"11,84,67,684",58.80%,2008
36,Tropic Thunder,"19,57,03,047","11,05,15,313",56.50%,"8,51,87,498",43.50%,2008
37,Eagle Eye,"17,87,67,383","10,14,40,743",56.70%,"7,73,26,640",43.30%,2008
38,Cloverfield,"17,23,94,180","8,00,48,433",46.40%,"9,23,45,747",53.60%,2008
39,Seven Pounds,"16,97,48,929","6,99,51,824",41.20%,"9,97,97,105",58.80%,2008
40,Hellboy II: The Golden Army,"16,83,19,243","7,59,86,503",45.10%,"9,23,32,740",54.90%,2008
41,The Spiderwick Chronicles,"16,41,70,327","7,11,95,053",43.40%,"9,29,75,274",56.60%,2008
42,Four Christmases,"16,41,12,721","12,01,46,040",73.20%,"4,39,66,681",26.80%,2008
43,Burn After Reading,"16,37,28,902","6,03,55,347",36.90%,"10,33,73,555",63.10%,2008
44,The Happening,"16,34,03,799","6,45,06,874",39.50%,"9,88,96,925",60.50%,2008
45,27 Dresses,"16,26,55,351","7,68,08,654",47.20%,"8,58,46,697",52.80%,2008
46,21,"15,98,08,370","8,11,59,365",50.80%,"7,86,49,005",49.20%,2008
47,Vantage Point,"15,20,39,882","7,22,66,306",47.50%,"7,97,73,576",52.50%,2008
48,Step Up 2: The Streets,"15,08,16,700","5,80,17,783",38.50%,"9,27,98,917",61.50%,2008
49,Beverly Hills Chihuahua,"14,92,92,488","9,45,14,402",63.30%,"5,47,78,086",36.70%,2008
50,Asterix at the Olympic Games,"13,18,56,927",0,0,"13,18,56,927",100%,2008
51,Red Cliff,"12,97,08,433","6,27,047",0.50%,"12,90,81,386",99.50%,2008
52,The Forbidden Kingdom,"12,87,79,982","5,20,75,270",40.40%,"7,67,04,712",59.60%,2008
53,Step Brothers,"12,81,07,642","10,04,68,793",78.40%,"2,76,38,849",21.60%,2008
54,Body of Lies,"11,59,00,897","3,93,94,666",34%,"7,65,06,231",66%,2008
55,Saw V,"11,38,64,059","5,67,46,769",49.80%,"5,71,17,290",50.20%,2008
56,Changeling,"11,33,98,237","3,57,39,802",31.50%,"7,76,58,435",68.50%,2008
57,Rambo,"11,32,44,290","4,27,54,105",37.80%,"7,04,90,185",62.20%,2008
58,Fool's Gold,"11,12,31,041","7,02,31,041",63.10%,"4,10,00,000",36.90%,2008
59,Transporter 3,"10,89,79,549","3,17,15,062",29.10%,"7,72,64,487",70.90%,2008
60,The Reader,"10,89,02,486","3,41,94,407",31.40%,"7,47,08,079",68.60%,2008
61,Made of Honor,"10,64,07,672","4,60,12,734",43.20%,"6,03,94,938",56.80%,2008
62,Forgetting Sarah Marshall,"10,58,33,257","6,31,72,463",59.70%,"4,26,60,794",40.30%,2008
63,Pineapple Express,"10,16,24,843","8,73,41,380",85.90%,"1,42,83,463",14.10%,2008
64,Nim's Island,"10,01,04,565","4,80,06,762",48%,"5,20,97,803",52%,2008
65,Vicky Cristina Barcelona,"9,64,09,830","2,32,16,709",24.10%,"7,31,92,591",75.90%,2008
66,Speed Racer,"9,39,45,766","4,39,45,766",46.80%,"5,00,00,000",53.20%,2008
67,Role Models,"9,26,49,419","6,72,94,270",72.60%,"2,53,55,149",27.40%,2008
68,Max Payne,"8,70,66,930","4,06,89,393",46.70%,"4,63,77,537",53.30%,2008
69,The Tale of Despereaux,"8,69,57,280","5,08,77,145",58.50%,"3,60,80,135",41.50%,2008
70,Meet the Spartans,"8,58,97,593","3,82,33,676",44.50%,"4,76,63,917",55.50%,2008
71,Nights in Rodanthe,"8,43,75,346","4,18,50,659",49.60%,"4,25,24,687",50.40%,2008
72,The Strangers,"8,24,10,456","5,25,97,610",63.80%,"2,98,12,846",36.20%,2008
73,Righteous Kill,"7,84,60,699","4,00,81,410",51.10%,"3,83,79,289",48.90%,2008
74,The Other Boleyn Girl,"7,81,99,679","2,68,14,957",34.30%,"5,13,84,722",65.70%,2008
75,Mirrors,"7,80,94,714","3,06,91,439",39.30%,"4,74,03,275",60.70%,2008
76,Death Race,"7,60,14,335","3,63,16,032",47.80%,"3,96,98,303",52.20%,2008
77,Revolutionary Road,"7,59,81,180","2,29,11,480",30.20%,"5,30,69,700",69.80%,2008
78,Boys Over Flowers: Final,"7,22,43,609",0,0,"7,22,43,609",100%,2008
79,Babylon A.D.,"7,21,09,200","2,25,32,572",31.20%,"4,95,76,628",68.80%,2008
80,Superhero Movie,"7,15,38,062","2,58,81,068",36.20%,"4,56,56,994",63.80%,2008
81,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"7,06,42,966","6,52,81,781",92.40%,"53,61,185",7.60%,2008
82,Departures,"7,04,42,129","14,98,210",2.10%,"6,89,43,919",97.90%,2008
83,The House Bunny,"7,04,39,696","4,82,37,389",68.50%,"2,22,02,307",31.50%,2008
84,The X Files: I Want to Believe,"6,93,63,381","2,09,82,478",30.30%,"4,83,80,903",69.70%,2008
85,Star Wars: The Clone Wars,"6,82,82,844","3,51,61,554",51.50%,"3,31,21,290",48.50%,2008
86,Street Kings,"6,64,76,363","2,64,18,667",39.70%,"4,00,57,696",60.30%,2008
87,Space Chimps,"6,50,97,693","3,01,05,968",46.20%,"3,49,91,725",53.80%,2008
88,The Bank Job,"6,48,22,796","3,00,60,660",46.40%,"3,47,62,136",53.60%,2008
89,Baby Mama,"6,44,44,713","6,04,94,212",93.90%,"39,50,501",6.10%,2008
90,Inkheart,"6,28,03,180","1,73,03,424",27.60%,"4,54,99,756",72.40%,2008
91,The Eye,"5,80,10,320","3,14,18,697",54.20%,"2,65,91,623",45.80%,2008
92,Prom Night,"5,71,97,876","4,38,69,350",76.70%,"1,33,28,526",23.30%,2008
93,"Definitely, Maybe","5,59,90,299","3,22,41,649",57.60%,"2,37,48,650",42.40%,2008
94,Suspect X,"5,48,46,110",0,0,"5,48,46,110",100%,2008
95,Milk,"5,45,89,558","3,18,41,299",58.30%,"2,27,48,259",41.70%,2008
96,Untraceable,"5,29,33,513","2,86,87,835",54.20%,"2,42,45,678",45.80%,2008
97,Doubt,"5,16,99,984","3,34,46,470",64.70%,"1,82,53,514",35.30%,2008
98,College Road Trip,"5,15,49,674","4,56,10,425",88.50%,"59,39,249",11.50%,2008
99,Meet Dave,"5,13,39,567","1,18,03,254",23%,"3,95,36,313",77%,2008
100,Defiance,"5,12,62,751","2,86,44,813",55.90%,"2,26,17,938",44.10%,2008
101,The Women,"5,00,07,546","2,69,02,075",53.80%,"2,31,05,471",46.20%,2008
102,Drillbit Taylor,"4,99,44,325","3,28,62,104",65.80%,"1,70,82,221",34.20%,2008
103,CJ7,"4,95,29,913","2,07,378",0.40%,"4,93,22,535",99.60%,2008
104,The Hurt Locker,"4,92,30,772","1,70,17,811",34.60%,"3,22,12,961",65.40%,2008
105,Shutter,"4,85,55,306","2,59,28,550",53.40%,"2,26,26,756",46.60%,2008
106,Pokémon: Giratina and the Sky Warrior,"4,75,11,422",0,0,"4,75,11,422",100%,2008
107,One Missed Call,"4,58,47,751","2,68,90,041",58.70%,"1,89,57,710",41.30%,2008
108,If You Are the One,"4,55,21,453",0,0,"4,55,21,453",100%,2008
109,The Wrestler,"4,47,34,660","2,62,38,243",58.70%,"1,84,96,417",41.30%,2008
110,Lakeview Terrace,"4,46,55,002","3,92,63,506",87.90%,"53,91,496",12.10%,2008
111,The Sisterhood of the Traveling Pants 2,"4,43,52,417","4,40,89,964",99.40%,"2,62,453",0.60%,2008
112,The Good the Bad the Weird,"4,42,61,209","1,28,486",0.30%,"4,41,32,723",99.70%,2008
113,Semi0Pro,"4,40,04,502","3,34,79,698",76.10%,"1,05,24,804",23.90%,2008
114,"Welcome Home, Roscoe Jenkins","4,36,55,418","4,24,36,517",97.20%,"12,18,901",2.80%,2008
115,Harold & Kumar Escape from Guantanamo Bay,"4,34,95,888","3,81,08,728",87.60%,"53,87,160",12.40%,2008
116,The Duchess,"4,33,43,384","1,38,48,978",32%,"2,94,94,406",68%,2008
117,Zack and Miri Make a Porno,"4,27,82,463","3,14,57,946",73.50%,"1,13,24,517",26.50%,2008
118,Bangkok Dangerous,"4,24,87,390","1,52,98,133",36%,"2,71,89,257",64%,2008
119,Meet the Browns,"4,19,75,388","4,19,75,388",100%,0,0,2008
120,Scandal Makers,"4,17,45,790",0,0,"4,17,45,790",100%,2008
121,Fly Me to the Moon 3D,"4,17,21,414","1,38,16,982",33.10%,"2,79,04,432",66.90%,2008
122,Never Back Down,"4,16,27,431","2,48,50,922",59.70%,"1,67,76,509",40.30%,2008
123,My Best Friend's Girl,"4,16,24,687","1,92,19,250",46.20%,"2,24,05,437",53.80%,2008
124,Escape Captivity: The Movie,"4,15,50,983",0,0,"4,15,50,983",100%,2008
125,Quarantine,"4,13,19,906","3,16,91,811",76.70%,"96,28,095",23.30%,2008
126,Leatherheads,"4,13,19,039","3,13,73,938",75.90%,"99,45,101",24.10%,2008
127,The Love Guru,"4,08,77,556","3,22,35,793",78.90%,"86,41,763",21.10%,2008
128,The Boy in the Striped Pajamas,"4,04,16,563","90,46,156",22.40%,"3,13,70,407",77.60%,2008
129,The Secret Life of Bees,"3,99,52,437","3,77,70,162",94.50%,"21,82,275",5.50%,2008
130,The Spirit,"3,91,64,441","1,98,06,188",50.60%,"1,93,58,253",49.40%,2008
131,Admiral,"3,91,43,985",0,0,"3,91,43,985",100%,2008
132,First Sunday,"3,88,10,311","3,79,31,869",97.70%,"8,78,442",2.30%,2008
133,Ghajini,"3,83,16,584","24,30,627",6.30%,"3,58,85,957",93.70%,2008
134,20th Century Boys 1: Beginning of the End,"3,82,31,562",0,0,"3,82,31,562",100%,2008
135,Painted Skin,"3,75,79,689",0,0,"3,75,79,689",100%,2008
136,The Family That Preys,"3,71,05,289","3,71,05,289",100%,0,0,2008
137,Natale a Rio,"3,67,02,844",0,0,"3,67,02,844",100%,2008
138,The Chaser,"3,64,67,587",0,0,"3,64,67,587",100%,2008
139,The Magic Hour,"3,60,23,586",0,0,"3,60,23,586",100%,2008
140,Death Note: L Change the World,"3,53,19,632",0,0,"3,53,19,632",100%,2008
141,Gomorrah,"3,48,61,529","15,79,146",4.50%,"3,32,82,383",95.50%,2008
142,Disaster Movie,"3,48,16,824","1,41,90,901",40.80%,"2,06,25,923",59.20%,2008
143,Nick and Norah's Infinite Playlist,"3,35,56,631","3,14,87,293",93.80%,"20,69,338",6.20%,2008
144,Fireproof,"3,34,73,297","3,34,56,317",99.90%,"16,980",<0.1%,2008
145,In Bruges,"3,33,94,440","78,00,824",23.40%,"2,55,93,616",76.60%,2008
146,Che: Part One,"3,32,66,274",0,0,"3,32,66,274",100%,2008
147,Last Chance Harvey,"3,25,66,966","1,48,89,042",45.70%,"1,76,77,924",54.30%,2008
148,The Wave,"3,23,50,637",0,0,"3,23,50,637",100%,2008
149,Doraemon the Movie: Nobita and the Green Giant Legend,"3,16,84,949",0,0,"3,16,84,949",100%,2008
150,Pride and Glory,"3,12,00,557","1,57,40,721",50.50%,"1,54,59,836",49.50%,2008
151,Igor,"3,08,93,885","1,95,28,602",63.20%,"1,13,65,283",36.80%,2008
152,Be Kind Rewind,"3,05,79,406","1,11,75,164",36.50%,"1,94,04,242",63.50%,2008
153,The Best Movie,"3,05,25,503",0,0,"3,05,25,503",100%,2008
154,Mesrine: Killer Instinct,"3,05,03,743",0,0,"3,05,03,743",100%,2008
155,Rab Ne Bana Di Jodi,"2,99,14,469","20,78,956",6.90%,"2,78,35,513",93.10%,2008
156,W.,"2,95,60,587","2,55,34,493",86.40%,"40,26,094",13.60%,2008
157,The Class,"2,93,03,505","37,66,810",12.90%,"2,55,36,695",87.10%,2008
158,Singh Is King,"2,91,69,677","21,59,376",7.40%,"2,70,10,301",92.60%,2008
159,Recep Ivedik,"2,85,48,025",0,0,"2,85,48,025",100%,2008
160,Appaloosa,"2,77,12,362","2,02,11,394",72.90%,"75,00,968",27.10%,2008
161,Traitor,"2,76,74,464","2,35,30,831",85%,"41,43,633",15%,2008
162,Frost/Nixon,"2,74,26,335","1,86,22,031",67.90%,"88,04,304",32.10%,2008
163,Forever the Moment,"2,72,59,300",0,0,"2,72,59,300",100%,2008
164,Public Enemy 3,"2,72,26,420",0,0,"2,72,26,420",100%,2008
165,Ghost Town,"2,70,90,159","1,33,67,624",49.30%,"1,37,22,535",50.70%,2008
166,The Baader Meinhof Complex,"2,69,37,355","4,76,270",1.80%,"2,64,61,085",98.20%,2008
167,Jodhaa Akbar,"2,68,90,354","34,40,718",12.80%,"2,34,49,636",87.20%,2008
168,Mad Money,"2,64,12,163","2,06,68,843",78.30%,"57,43,320",21.70%,2008
169,RocknRolla,"2,57,42,207","57,00,626",22.10%,"2,00,40,237",77.80%,2008
170,I'm a Cat Stalker,"2,52,21,446",0,0,"2,52,21,446",100%,2008
171,Race,"2,45,03,269","13,67,024",5.60%,"2,31,36,245",94.40%,2008
172,Detroit Metal City,"2,37,44,571",0,0,"2,37,44,571",100%,2008
173,Disco,"2,35,24,551",0,0,"2,35,24,551",100%,2008
174,Paris,"2,33,28,518","10,10,194",4.30%,"2,23,18,324",95.70%,2008
175,Under the Same Moon,"2,33,13,049","1,25,90,147",54%,"1,07,22,902",46%,2008
176,"Sorry, If I Love You","2,32,49,815",0,0,"2,32,49,815",100%,2008
